Week,Sea Shanty,Wellerman
2019-04-28,7,0
2019-05-05,9,0
2019-05-12,9,0
2019-05-19,10,0
2019-05-26,14,0
2019-06-02,15,<1
2019-06-09,16,0
2019-06-16,14,0
2019-06-23,14,0
2019-06-30,15,0
2019-07-07,13,0
2019-07-14,22,0
2019-07-21,30,0
2019-07-28,25,0
2019-08-04,13,0
2019-08-11,11,0
2019-08-18,10,0
2019-08-25,7,<1
2019-09-01,7,<1
2019-09-08,7,0
2019-09-15,7,0
2019-09-22,6,0
2019-09-29,7,<1
2019-10-06,7,0
2019-10-13,7,0
2019-10-20,7,0
2019-10-27,6,0
2019-11-03,7,0
2019-11-10,7,0
2019-11-17,7,<1
2019-11-24,7,0
2019-12-01,7,0
2019-12-08,6,0
2019-12-15,7,0
2019-12-22,7,0
2019-12-29,6,0
2020-01-05,7,0
2020-01-12,7,0
2020-01-19,7,0
2020-01-26,7,0
2020-02-02,7,0
2020-02-09,7,0
2020-02-16,7,0
2020-02-23,7,<1
2020-03-01,6,<1
2020-03-08,7,0
2020-03-15,6,0
2020-03-22,6,0
2020-03-29,6,0
2020-04-05,6,<1
2020-04-12,6,0
2020-04-19,6,0
2020-04-26,8,<1
2020-05-03,7,<1
2020-05-10,8,<1
2020-05-17,9,0
2020-05-24,9,0
2020-05-31,10,<1
2020-06-07,10,<1
2020-06-14,10,0
2020-06-21,9,<1
2020-06-28,9,<1
2020-07-05,10,<1
2020-07-12,10,<1
2020-07-19,10,<1
2020-07-26,10,<1
2020-08-02,10,<1
2020-08-09,10,1
2020-08-16,8,<1
2020-08-23,7,<1
2020-08-30,7,<1
2020-09-06,7,<1
2020-09-13,7,<1
2020-09-20,6,<1
2020-09-27,6,<1
2020-10-04,6,1
2020-10-11,6,1
2020-10-18,5,1
2020-10-25,5,1
2020-11-01,5,1
2020-11-08,9,1
2020-11-15,6,1
2020-11-22,6,1
2020-11-29,7,1
2020-12-06,7,4
2020-12-13,6,2
2020-12-20,6,2
2020-12-27,7,4
2021-01-03,9,6
2021-01-10,88,50
2021-01-17,100,62
2021-01-24,77,61
2021-01-31,54,59
2021-02-07,39,54
2021-02-14,34,54
2021-02-21,34,58
2021-02-28,37,66
2021-03-07,41,65
2021-03-14,43,67
2021-03-21,31,63
2021-03-28,25,57
2021-04-04,25,51
2021-04-11,25,47
2021-04-18,20,47
2021-04-25,21,47
2021-05-02,19,53
2021-05-09,20,44
2021-05-16,17,37
2021-05-23,16,33
2021-05-30,18,31
2021-06-06,17,30
2021-06-13,17,28
2021-06-20,18,30
2021-06-27,17,31
2021-07-04,18,29
2021-07-11,17,30
2021-07-18,19,26
2021-07-25,20,23
2021-08-01,22,21
2021-08-08,20,20
2021-08-15,21,20
2021-08-22,21,21
2021-08-29,19,17
2021-09-05,19,19
2021-09-12,20,19
2021-09-19,19,19
2021-09-26,17,16
2021-10-03,17,15
2021-10-10,19,16
2021-10-17,19,13
2021-10-24,18,13
2021-10-31,19,13
2021-11-07,18,14
2021-11-14,20,15
2021-11-21,20,13
2021-11-28,23,13
2021-12-05,23,15
2021-12-12,21,15
2021-12-19,22,15
2021-12-26,25,21
2022-01-02,26,16
2022-01-09,25,14
2022-01-16,23,15
2022-01-23,23,16
2022-01-30,25,16
2022-02-06,26,15
2022-02-13,29,15
2022-02-20,27,14
2022-02-27,26,14
2022-03-06,25,14
2022-03-13,28,15
2022-03-20,24,15
2022-03-27,22,15
2022-04-03,23,15
2022-04-10,27,15
2022-04-17,26,19
2022-04-24,25,19
2022-05-01,30,19
2022-05-08,40,24
2022-05-15,41,24
2022-05-22,43,28
2022-05-29,55,33
2022-06-05,42,38
2022-06-12,41,34
2022-06-19,36,37
2022-06-26,33,28
2022-07-03,31,27
2022-07-10,34,25
2022-07-17,33,22
2022-07-24,31,23
2022-07-31,30,21
2022-08-07,32,19
2022-08-14,29,22
2022-08-21,26,21
2022-08-28,26,18
2022-09-04,26,17
2022-09-11,30,17
2022-09-18,24,18
2022-09-25,23,18
2022-10-02,21,18
2022-10-09,22,18
2022-10-16,22,17
2022-10-23,19,17
2022-10-30,21,17
2022-11-06,22,16
2022-11-13,27,16
2022-11-20,27,14
2022-11-27,25,13
2022-12-04,29,12
2022-12-11,42,11
2022-12-18,24,12
2022-12-25,25,13
2023-01-01,23,14
2023-01-08,23,13
2023-01-15,24,13
2023-01-22,22,12
2023-01-29,25,13
2023-02-05,29,12
2023-02-12,22,12
2023-02-19,24,13
2023-02-26,25,12
2023-03-05,27,13
2023-03-12,27,13
2023-03-19,25,13
2023-03-26,22,11
2023-04-02,18,12
2023-04-09,16,11
2023-04-16,12,12
2023-04-23,13,13
2023-04-30,15,13
2023-05-07,15,11
2023-05-14,23,11
2023-05-21,23,12
2023-05-28,17,11
2023-06-04,14,11
2023-06-11,17,11
2023-06-18,18,11
2023-06-25,15,10
2023-07-02,17,10
2023-07-09,18,11
2023-07-16,20,10
2023-07-23,22,10
2023-07-30,25,10
2023-08-06,21,10
2023-08-13,21,9
2023-08-20,21,10
2023-08-27,22,9
2023-09-03,19,10
2023-09-10,23,10
2023-09-17,25,11
2023-09-24,20,10
2023-10-01,18,11
2023-10-08,18,10
2023-10-15,18,10
2023-10-22,19,10
2023-10-29,17,9
2023-11-05,16,9
2023-11-12,15,9
2023-11-19,14,8
2023-11-26,17,8
2023-12-03,17,9
2023-12-10,15,9
2023-12-17,11,8
2023-12-24,11,10
2023-12-31,11,12
2024-01-07,11,8
2024-01-14,10,8
2024-01-21,10,8
2024-01-28,10,9
2024-02-04,10,9
2024-02-11,11,8
2024-02-18,12,8
2024-02-25,9,9
2024-03-03,10,8
2024-03-10,9,8
2024-03-17,8,9
2024-03-24,11,8
2024-03-31,10,7
2024-04-07,12,8
2024-04-14,12,8
2024-04-21,12,8
2024-04-28,10,7
