State,City,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,Total,Longitude,Latitude
,"Chandler, AZ",2,3,4,3,1,2,2,1,5,4,2,1,1,6,2,2,4,4,2,0,2,0,1,0,1,0,3,2,1,3,0,3,2,2,3,2,3,0,9,8,1,3,9,8,6,123,33.3062,111.8413
,"Glendale, AZ",9,10,3,13,6,4,11,6,6,5,4,8,9,6,6,5,7,9,4,9,6,7,8,8,10,13,13,5,10,9,11,7,5,10,16,26,28,42,37,29,16,42,69,44,63,674,33.5387,112.186
,"Peoria, AZ",2,1,2,2,3,0,0,2,0,0,0,0,2,0,2,1,0,1,2,1,0,2,1,2,3,2,0,0,1,1,2,2,0,0,4,5,1,0,2,3,5,9,5,8,,79,33.5806,112.2374
,Tuscon,12,9,5,4,7,11,4,11,11,10,9,9,13,10,4,11,7,12,8,8,7,14,13,9,14,14,9,13,15,11,17,13,12,10,27,31,36,,,,,,,,,440,32.254,110.9742
AZ,Arizona,25,23,14,22,17,17,17,20,22,19,15,18,25,22,14,19,18,26,16,18,15,23,23,19,28,29,25,20,27,24,30,25,19,22,50,64,68,42,48,40,22,54,83,60,69,1316,,
,San Diego,25,14,16,29,14,13,35,23,16,27,31,17,26,14,16,8,20,15,16,23,30,17,36,20,17,17,23,17,23,50,48,61,51,93,76,55,49,59,78,91,92,129,110,84,103,1827,32.7157,117.1611
,Sacramento,2,9,4,4,3,5,4,3,5,4,4,10,2,5,4,5,7,6,4,3,2,6,4,7,9,4,8,15,4,6,10,18,11,29,71,24,40,49,56,85,57,78,68,116,144,1014,38.5816,121.4944
,Bakersfield,9,13,12,9,6,9,7,14,5,11,5,16,11,12,8,5,9,13,11,12,10,5,14,14,10,12,10,13,10,9,5,10,9,14,25,18,53,43,39,39,43,39,68,90,86,885,35.3733,119.0187
,"Fremont, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,3,3,1,1,4,3,7,13,4,10,23,33,39,48,43,241,37.5485,121.9886
,"Chula Vista, CA",6,3,2,2,2,2,3,4,4,4,4,3,2,1,5,5,5,2,2,7,7,5,6,3,7,2,1,3,3,3,4,11,8,16,17,10,22,25,17,35,18,27,24,24,17,383,32.6401,117.0842
,"Oxnard, CA",1,2,0,2,1,1,1,0,0,0,0,3,0,0,0,0,2,1,1,1,0,1,1,5,1,0,2,0,2,0,1,0,1,1,1,4,2,0,1,5,0,1,2,4,5,56,34.1975,119.1771
