Date,"Chandler, AZ","Glendale, AZ","Peoria, AZ",Tuscon,Arizona,San Diego,Sacramento,Bakersfield,"Fremont, CA","Chula Vista, CA","Oxnard, CA",San Francisco,"Riverside County, CA","Stockton, CA","San Bernardino, CA","Modesto, CA","San Jose, CA",Los Angeles,"Anaheim, CA",California,Denver,"New Haven, CT","Washington, D.C.",Virginia Beach,"St. Petersburg, FL","Orlando, FL",Florida,Atlanta,"Boise, ID",Chicago,"Aurora, IL",Illinois,"Wichita, KS",Louisville,Baltimore,"Montgomery County, MD",,"Minneapolis, MN",Omaha,"Raleigh, NC","Durham, NC",North Carolina,"Reno, NV","Henderson, NV",Nevada,"Buffalo, NY","Rochester, NY","Syracuse, NY",New York,"Akron, OH",Cincinatti,Cleveland,Dayton,Ohio,Portland,"Eugene, OR",Oregon,"Pittsburgh, PA","Providence, RI",El Paso,Dallas,"Lubbock, TX","Irving, TX","Plano, TX","McKinney, TX","Arlington, TX","Garland, TX","Corpus Cristi, TX","Amarillo, TX","Austin, TX",Texas,"Salt Lake City, UT","Newport News, VA","Vancouver, WA","Spokane, WA",Seattle,Washington,"Madison, WI","Milwaukee, WI",Wisconsin,Albuquerque
December 2019,2,9,2,12,25,25,2,9,,6,1,11,11,3,5,5,6,53,0,137,48,6,4,,,14,14,,3,46,1,47,3,14,35,2,37,22,11,5,5,10,,,0,7,3,2,12,9,,,2,11,13,1,14,9,1,13,21,6,2,3,0,8,3,1,1,10,78,6,2,,1,12,13,4,22,26,87
January 2020,3,10,1,9,23,14,9,13,,3,2,10,10,5,14,1,6,42,0,129,21,5,5,,,8,8,,0,36,0,36,4,18,38,1,39,30,19,5,9,14,,,0,7,8,5,20,1,21,35,5,62,12,2,14,4,3,9,26,2,3,1,0,3,0,2,5,11,69,4,3,,4,6,10,4,23,27,107
February 2020,4,3,2,5,14,16,4,12,,2,0,9,10,3,8,2,9,39,0,114,28,5,10,,,5,5,,0,40,1,41,5,10,30,1,31,18,13,2,3,5,,,0,9,4,6,19,2,10,12,5,29,10,2,12,3,2,5,23,3,7,1,0,6,0,0,1,12,63,1,3,,0,9,9,1,24,25,80
March 2020,3,13,2,4,22,29,4,9,,2,2,14,9,6,11,3,6,50,0,145,35,5,8,,,14,14,,1,38,0,38,11,14,28,5,33,19,17,3,9,12,1,,1,2,4,1,7,2,16,14,6,38,4,2,6,2,2,6,22,7,4,1,3,1,1,2,1,8,60,3,5,,0,5,5,2,27,29,60
April 2020,1,6,3,7,17,14,3,6,,2,1,6,7,6,6,3,11,51,0,116,39,4,9,,,7,7,,0,40,0,40,0,20,28,1,29,19,11,2,4,6,1,,1,3,7,1,11,7,12,21,6,46,7,0,7,5,3,1,19,3,7,0,4,3,1,1,2,13,62,6,3,,1,7,8,0,17,17,70
May 2020,2,4,0,11,17,13,5,9,,2,1,14,13,3,7,1,4,61,0,133,37,3,7,,,6,6,,2,70,1,71,4,11,21,1,22,23,14,1,10,11,2,,2,3,8,2,13,3,9,20,4,36,7,0,7,2,2,1,24,3,1,0,1,4,2,1,4,6,51,3,1,,1,8,9,1,12,13,92
June 2020,2,11,0,4,17,35,4,7,,3,1,6,8,6,3,1,14,54,0,142,57,3,12,,,2,2,,0,57,1,58,2,23,21,1,22,26,13,4,9,13,2,,2,14,11,7,32,4,17,22,3,46,11,1,12,9,2,8,25,3,3,1,1,3,0,1,2,13,71,2,1,,1,5,6,0,16,16,59
July 2020,1,6,2,11,20,23,3,14,,4,0,6,12,3,9,3,14,83,1,175,57,5,19,,,12,12,,0,60,2,62,5,20,28,2,30,26,23,2,6,8,1,,1,9,11,5,25,5,17,20,4,46,11,1,12,3,0,5,19,4,3,0,6,2,1,0,5,15,63,5,1,,2,10,12,5,24,29,72
August 2020,5,6,0,11,22,16,5,5,,4,0,15,17,1,4,2,10,130,0,209,85,7,10,,,2,2,,2,55,0,55,15,18,31,6,37,21,16,4,7,11,4,,4,14,8,9,31,9,12,29,4,54,8,2,10,5,3,4,28,7,2,2,0,3,3,0,4,15,76,7,2,,2,14,16,7,20,27,79
September 2020,4,5,0,10,19,27,4,11,,4,0,9,11,1,5,4,7,124,0,207,107,3,15,,,6,6,,1,39,0,39,10,17,41,3,44,15,19,1,5,6,4,,4,4,8,1,13,8,20,28,4,60,11,2,13,7,3,2,32,5,5,0,2,4,1,0,2,14,77,6,1,,1,11,12,8,39,47,42
